enemy_type,game_time,player_level,session_id,timestamp,total_at_level
slime,11.15,1,1776432838,1776432850.8755443,1
slime,13.19,2,1776432838,1776432852.9079752,1
slime,14.4,2,1776432838,1776432854.126325,2
slime,17.78,2,1776432838,1776432857.5052145,3
slime,24.83,3,1776432838,1776432864.5509627,1
skeleton,29.6,3,1776432838,1776432869.3166466,2
slime,31.41,4,1776432838,1776432871.1302693,1
skeleton,36.57,4,1776432838,1776432876.2926545,2
slime,38.0,5,1776432838,1776432877.7182612,1
skeleton,39.11,5,1776432838,1776432878.8298867,2
slime,41.48,5,1776432838,1776432881.2042816,3
slime,55.12,6,1776432838,1776432894.8376656,1
slime,56.75,6,1776432838,1776432896.4651036,2
skeleton,62.02,6,1776432838,1776432901.7409327,3
skeleton,64.25,7,1776432838,1776432903.9696777,1
slime,64.92,7,1776432838,1776432904.6369216,2
slime,69.67,7,1776432838,1776432909.3885763,3
slime,71.44,8,1776432838,1776432911.1560109,1
slime,74.23,8,1776432838,1776432913.9462476,2
skeleton,79.31,8,1776432838,1776432919.024362,3
slime,80.59,8,1776432838,1776432920.3035448,4
skeleton,84.8,9,1776432838,1776432924.515652,1
skeleton,88.37,9,1776432838,1776432928.0831707,2
slime,91.29,10,1776432838,1776432931.004772,1
slime,93.24,10,1776432838,1776432932.9561305,2
skeleton,95.31,10,1776432838,1776432935.0291445,3
slime,98.73,10,1776432838,1776432938.4463935,4
skeleton,110.08,11,1776432838,1776432949.7921886,1
skeleton,110.49,11,1776432838,1776432950.208486,2
mini_boss_1,135.29,12,1776432838,1776432975.0000212,1
slime,146.03,12,1776432838,1776432994.1461673,2
skeleton,151.86,13,1776432838,1776432999.977039,1
slime,5.06,1,1776433657,1776433662.8539035,1
slime,17.34,2,1776433657,1776433675.1399205,1
slime,18.14,2,1776433657,1776433675.933193,2
slime,19.49,2,1776433657,1776433677.2902648,3
slime,24.53,3,1776433657,1776433682.329703,1
slime,39.11,3,1776433657,1776433696.9094954,2
slime,51.82,3,1776433657,1776433709.6141229,3
slime,53.47,3,1776433657,1776433711.2629988,4
slime,59.03,4,1776433657,1776433716.82424,1
slime,60.57,4,1776433657,1776433718.3592584,2
skeleton,64.95,5,1776433657,1776433722.7412329,1
skeleton,70.01,5,1776433657,1776433727.8047557,2
slime,73.38,5,1776433657,1776433731.1712716,3
skeleton,75.4,6,1776433657,1776433733.191795,1
slime,76.06,6,1776433657,1776433733.8530023,2
skeleton,79.06,7,1776433657,1776433736.858155,1
skeleton,82.27,7,1776433657,1776433740.061653,2
slime,87.08,7,1776433657,1776433744.8676076,3
skeleton,91.52,8,1776433657,1776433749.3076367,1
skeleton,97.25,8,1776433657,1776433755.0397995,2
skeleton,97.91,9,1776433657,1776433755.7009456,1
slime,98.55,9,1776433657,1776433756.3429472,2
slime,105.78,9,1776433657,1776433763.5676613,3
slime,108.89,9,1776433657,1776433766.6840518,4
skeleton,110.18,10,1776433657,1776433767.9671402,1
skeleton,117.13,10,1776433657,1776433774.9242823,2
skeleton,122.26,10,1776433657,1776433780.0541322,3
mini_boss_1,157.08,11,1776433657,1776433814.8657598,1
slime,160.56,11,1776433657,1776433821.7368488,2
slime,163.08,11,1776433657,1776433824.2531667,3
slime,165.9,12,1776433657,1776433827.0744553,1
skeleton,167.72,12,1776433657,1776433828.8907025,2
slime,169.88,12,1776433657,1776433831.055944,3
slime,172.62,12,1776433657,1776433833.7881825,4
skeleton,177.35,13,1776433657,1776433838.5257862,1
slime,183.56,13,1776433657,1776433844.733846,2
skeleton,185.98,13,1776433657,1776433847.1481535,3
slime,187.72,13,1776433657,1776433848.8918722,4
skeleton,193.08,14,1776433657,1776433854.2497919,1
slime,194.72,14,1776433657,1776433855.887728,2
skeleton,199.34,14,1776433657,1776433860.511634,3
slime,199.41,15,1776433657,1776433860.5757902,1
skeleton,201.83,15,1776433657,1776433863.00353,2
skeleton,204.29,15,1776433657,1776433865.4559932,3
skeleton,206.58,16,1776433657,1776433867.7517695,1
skeleton,208.93,16,1776433657,1776433870.101107,2
skeleton,211.42,16,1776433657,1776433872.5900345,3
skeleton,220.24,17,1776433657,1776433881.4114242,1
orc,222.45,17,1776433657,1776433883.62411,2
skeleton,227.26,18,1776433657,1776433888.429705,1
orc,230.77,18,1776433657,1776433891.9377472,2
skeleton,233.97,19,1776433657,1776433895.1410763,1
orc,238.37,19,1776433657,1776433899.5356913,2
orc,242.55,20,1776433657,1776433903.7222767,1
orc,247.2,20,1776433657,1776433908.3751707,2
slime,250.27,21,1776433657,1776433911.4404857,1
orc,250.29,21,1776433657,1776433911.457554,2
skeleton,255.16,21,1776433657,1776433916.330413,3
orc,262.2,22,1776433657,1776433923.376409,1
skeleton,263.74,22,1776433657,1776433924.9065182,2
mini_boss_2,285.34,23,1776433657,1776433946.509147,1
skeleton,290.65,23,1776433657,1776433951.8198109,2
